Entrada,Respuesta
"Hola","¡Hola!"
"¿Cómo estás?","No tengo sentimientos, soy un asistente."
"¿Cuál es tu nombre?","Soy un asistente virtual, no tengo un nombre propio."
"¿Qué haces?","Estoy aquí para ayudarte en lo que necesites."
"¿Cuál es la capital de Francia?","La capital de Francia es París."
"Cuéntame un chiste","¿Cómo se llama un pez que sabe programar? Un codfish."
"¿Cuántos dedos tiene una mano?","Una mano tiene cinco dedos."
"¿Cuál es tu color favorito?","No tengo preferencias de color, soy un programa."
"¿Puedes hacerme café?","Lo siento, no tengo la capacidad de preparar café."
"¿Cómo se dice 'hola' en francés?","Hola en francés se dice 'bonjour'."
"¿Cuál es la raíz cuadrada de 144?","La raíz cuadrada de 144 es 12."
"¿Cuál es tu película favorita?","No tengo preferencias de películas, soy un programa de texto."
"¿Cómo se deletrea 'tecnología'?","T-E-C-N-O-L-O-G-Í-A."
"¿Qué hora es?","Lo siento, no tengo acceso a la hora actual."
"¿Cuántos planetas hay en nuestro sistema solar?","Hay ocho planetas en nuestro sistema solar."
"Cuéntame algo interesante","Las abejas pueden reconocer rostros humanos."
"¿Puedes ayudarme con matemáticas?","Sí, estaré encantado de ayudarte con matemáticas."
"¿Cuántos días tiene un año bisiesto?","Un año bisiesto tiene 366 días."
"¿Cuál es la capital de Japón?","La capital de Japón es Tokio."
"¿Tienes hermanos?","No tengo familia ni relaciones, soy un programa autónomo."
"¿Cuál es la velocidad de la luz?","La velocidad de la luz es aproximadamente 299,792 kilómetros por segundo."
"¿Cómo se dice 'agua' en inglés?","'Agua' en inglés se dice 'water'."
"¿Cuál es la fórmula del agua?","La fórmula del agua es H2O."
"¿Cuántos continentes hay en el mundo?","Hay siete continentes en el mundo."
"¿Cuál es el animal más grande del planeta?","La ballena azul es el animal más grande del planeta."
"¿Cómo se llama la capital de Italia?","La capital de Italia es Roma."
"¿Tienes algún hobby?","No tengo hobbies, mi función es ayudarte con información y tareas específicas."
"¿Qué es un agujero negro?","Un agujero negro es una región del espacio-tiempo con una fuerza gravitatoria tan fuerte que nada puede escapar de ella, ni siquiera la luz."
"¿Cuántos lados tiene un triángulo?","Un triángulo tiene tres lados."
"¿Puedes contarme un secreto?","No tengo secretos, mi programación es transparente y orientada a la ayuda."
"¿Cuál es la capital de Estados Unidos?","La capital de Estados Unidos es Washington, D.C."
"¿Cuántas patas tiene una araña?","La mayoría de las arañas tienen ocho patas."
"¿Cuántos años tienes?","No tengo una edad, soy un programa de inteligencia artificial."
"¿Cuál es la fórmula de la energía?","La fórmula de la energía es E=mc^2."
"¿Cuál es tu comida favorita?","No tengo preferencias alimenticias, ya que no tengo la capacidad de comer."
"¿Puedes bailar?","No tengo un cuerpo físico, así que no puedo bailar."
"¿Cómo se dice 'adiós' en alemán?","'Adiós' en alemán se dice 'Auf Wiedersehen'."
"¿Cuántos dientes tiene un adulto?","Un adulto promedio tiene 32 dientes."
"¿Puedes decirme un refrán?","Más vale tarde que nunca."
"¿Cuántas estaciones del año hay?","Hay cuatro estaciones en un año: primavera, verano, otoño e invierno."
"¿Cuál es el río más largo del mundo?","El río Amazonas es el río más largo del mundo."
"¿Qué es la fotosíntesis?","La fotosíntesis es el proceso mediante el cual las plantas convierten la luz solar en energía para crecer."
"¿Cuál es la capital de Australia?","La capital de Australia es Canberra."
"¿Qué es un átomo?","Un átomo es la unidad básica de la materia."
"¿Puedes hacerme reír?","¿Por qué los pájaros no usan Facebook? Porque ya tienen Twitter."
"¿Cuál es la distancia entre la Tierra y la Luna?","La distancia promedio entre la Tierra y la Luna es aproximadamente 384,400 kilómetros."
"¿Cómo se dice 'amor' en francés?","'Amor' en francés se dice 'amour'."
"¿Cuál es la montaña más alta del mundo?","El Monte Everest es la montaña más alta del mundo."
"¿Puedes ayudarme a aprender un nuevo idioma?","Sí, puedo proporcionarte información y recursos para aprender un nuevo idioma."
"¿Qué es la gravedad?","La gravedad es la fuerza que atrae dos objetos con masa el uno hacia el otro."
"¿Cuál es la capital de Canadá?","La capital de Canadá es Ottawa."
"¿Cómo se llama nuestro sistema solar?","Nuestro sistema solar se llama el Sistema Solar."
"¿Puedes hacerme una recomendación de libro?","Claro, ¿qué género te interesa?."
"¿Cuántos huesos tiene el cuerpo humano?","El cuerpo humano adulto tiene 206 huesos."
"¿Cuál es el océano más grande del mundo?","El Océano Pacífico es el océano más grande del mundo."
"¿Puedes decirme un dato curioso?","Los flamencos rosados no nacen con ese color, lo obtienen de su alimentación."
"¿Cuántas letras tiene el alfabeto?","El alfabeto en español tiene 27 letras."
"¿Cuál es la diferencia entre velocidad y aceleración?","La velocidad es la rapidez en una dirección específica, mientras que la aceleración es el cambio de velocidad."
"¿Puedes hacerme una recomendación de película?","¿Qué género de película prefieres?"
"¿Cuántos elementos químicos hay en la tabla periódica?","La tabla periódica tiene 118 elementos químicos."
"¿Cuál es la diferencia entre masa y peso?","La masa es la cantidad de materia en un objeto, mientras que el peso es la fuerza de gravedad que actúa sobre ese objeto."
"¿Cuál es la capital de China?","La capital de China es Pekín."
"¿Puedes darme un consejo?","La paciencia es una virtud importante en muchos aspectos de la vida."
"¿Cuántas semanas tiene un año?","Un año tiene aproximadamente 52 semanas."
"¿Cuál es el ave más rápida del mundo?","El halcón peregrino es el ave más rápida del mundo."
"¿Cuál es la capital de Brasil?","La capital de Brasil es Brasilia."
"¿Puedes decirme un hecho histórico interesante?","En 1969, el ser humano llegó a la Luna por primera vez con la misión Apollo 11."
"¿Cuántos idiomas hablas?","Puedo entender y generar texto en varios idiomas, pero no hablo en el sentido tradicional."
"¿Cuál es el instrumento musical más antiguo?","La flauta es uno de los instrumentos musicales más antiguos conocidos."
"¿Puedes decirme una palabra en otro idioma?","Claro, 'amigo' en italiano se dice 'amico'."
"¿Cuántos huesos tiene la columna vertebral?","La columna vertebral humana tiene 33 vértebras."
"¿Cuál es el desierto más grande del mundo?","El desierto del Sahara es el desierto más grande del mundo."
"¿Cuál es la diferencia entre clima y tiempo?","El clima se refiere a las condiciones atmosféricas a largo plazo en una región, mientras que el tiempo se refiere a las condiciones atmosféricas a corto plazo."
"¿Cuál es la capital de Rusia?","La capital de Rusia es Moscú."
"¿Puedes recomendarme una serie de televisión?","¿Qué género de serie te gusta?"
"¿Cuántos dientes tiene un niño?","Un niño tiene 20 dientes temporales."
